test_case,hdf5_file,global_nx,global_ny,procs,run,total_time_seconds,num_iterations,time_per_iteration
3,Data_nx201_500km.h5,200,200,32,3,0.0232812,1,0.0232812
3,Data_nx201_500km.h5,200,200,40,1,0.0608313,1,0.0608313
3,Data_nx201_500km.h5,200,200,40,2,0.0645954,1,0.0645954
3,Data_nx201_500km.h5,200,200,40,3,0.0570549,1,0.0570549
3,Data_nx201_500km.h5,200,200,48,1,0.0629372,1,0.0629372
3,Data_nx201_500km.h5,200,200,48,2,0.0612226,1,0.0612226
3,Data_nx201_500km.h5,200,200,48,3,0.0739021,1,0.0739021
3,Data_nx201_500km.h5,200,200,56,1,0.0446766,1,0.0446766
3,Data_nx201_500km.h5,200,200,56,2,0.043341,1,0.043341
3,Data_nx201_500km.h5,200,200,56,3,0.0390445,1,0.0390445
3,Data_nx201_500km.h5,200,200,64,1,0.0594841,1,0.0594841
3,Data_nx201_500km.h5,200,200,64,2,0.0604787,1,0.0604787
3,Data_nx201_500km.h5,200,200,64,3,0.0590329,1,0.0590329
3,Data_nx201_500km.h5,200,200,72,1,0.0889161,1,0.0889161
3,Data_nx201_500km.h5,200,200,72,2,0.0941419,1,0.0941419
3,Data_nx201_500km.h5,200,200,72,3,0.0985397,1,0.0985397
3,Data_nx501_500km.h5,500,500,1,1,0.0183339,1,0.0183339
3,Data_nx501_500km.h5,500,500,1,2,0.018115,1,0.018115
3,Data_nx501_500km.h5,500,500,1,3,0.0180348,1,0.0180348
3,Data_nx501_500km.h5,500,500,2,1,0.00926589,1,0.00926589
3,Data_nx501_500km.h5,500,500,2,2,0.00929108,1,0.00929108
3,Data_nx501_500km.h5,500,500,2,3,0.00924207,1,0.00924207
3,Data_nx501_500km.h5,500,500,4,1,0.00891105,1,0.00891105
3,Data_nx501_500km.h5,500,500,4,2,0.0125876,1,0.0125876
3,Data_nx501_500km.h5,500,500,4,3,0.00947854,1,0.00947854
3,Data_nx501_500km.h5,500,500,8,1,0.0101025,1,0.0101025
3,Data_nx501_500km.h5,500,500,8,2,0.01089,1,0.01089
3,Data_nx501_500km.h5,500,500,8,3,0.0140799,1,0.0140799
3,Data_nx501_500km.h5,500,500,12,1,0.0341792,1,0.0341792
3,Data_nx501_500km.h5,500,500,12,2,0.0323356,1,0.0323356
3,Data_nx501_500km.h5,500,500,12,3,0.0439811,1,0.0439811
3,Data_nx501_500km.h5,500,500,16,1,0.0228455,1,0.0228455
3,Data_nx501_500km.h5,500,500,16,2,0.0177847,1,0.0177847
3,Data_nx501_500km.h5,500,500,16,3,0.0196438,1,0.0196438
3,Data_nx501_500km.h5,500,500,20,1,0.0468194,1,0.0468194
3,Data_nx501_500km.h5,500,500,20,2,0.048691,1,0.048691
3,Data_nx501_500km.h5,500,500,20,3,0.0478722,1,0.0478722
3,Data_nx501_500km.h5,500,500,24,1,0.0334256,1,0.0334256
3,Data_nx501_500km.h5,500,500,24,2,0.0335442,1,0.0335442
