test_case,local_base_size,global_nx,global_ny,procs,run,total_time_seconds,num_iterations,time_per_iteration
1,300,600,600,4,2,36.5119,1688,0.0216303
1,300,600,600,4,3,36.1797,1688,0.0214335
1,300,1200,600,8,1,72.2227,3347,0.0215783
1,300,1200,600,8,2,72.0217,3347,0.0215183
1,300,1200,600,8,3,72.8199,3347,0.0217568
1,300,1200,900,12,1,74.4035,3420,0.0217554
1,300,1200,900,12,2,77.3472,3420,0.0226161
1,300,1200,900,12,3,74.327,3420,0.021733
1,300,1200,1200,16,1,76.2438,3465,0.022004
1,300,1200,1200,16,2,87.226,3465,0.0251734
1,300,1200,1200,16,3,87.8267,3465,0.0253468
1,300,1500,1200,20,1,111.632,4323,0.0258228
1,300,1500,1200,20,2,111.309,4323,0.0257481
1,300,1500,1200,20,3,110.639,4323,0.0255931
1,300,1800,1200,24,1,135.111,5177,0.0260983
1,300,1800,1200,24,2,135.447,5177,0.0261632
1,300,1800,1200,24,3,135.813,5177,0.0262339
1,300,2100,1200,28,1,161.288,6027,0.0267609
1,300,2100,1200,28,2,161.603,6027,0.0268131
1,300,2100,1200,28,3,159.697,6027,0.026497
1,300,2400,1200,32,1,185.137,6874,0.0269329
1,300,2400,1200,32,2,184.869,6874,0.0268939
1,300,2400,1200,32,3,184.491,6874,0.0268389
1,300,2400,1500,40,1,191.128,6949,0.0275044
1,300,2400,1500,40,2,190.193,6949,0.0273699
1,300,2400,1500,40,3,189.248,6949,0.0272338
1,300,2400,1800,48,1,192.725,7003,0.0275204
1,300,2400,1800,48,2,195.829,7003,0.0279636
1,300,2400,1800,48,3,194.297,7003,0.0277448
1,300,2400,2100,56,1,195.361,7043,0.0277384
1,300,2400,2100,56,2,196.737,7043,0.0279337
1,300,2400,2100,56,3,196.803,7043,0.0279431
1,300,2400,2400,64,1,197.086,7073,0.0278645
1,300,2400,2400,64,2,195.768,7073,0.0276782
1,300,2400,2400,64,3,203.208,7073,0.0287301
1,300,2700,2400,72,1,227.302,7952,0.0285842
1,300,2700,2400,72,2,223.564,7952,0.0281142
1,300,2700,2400,72,3,220.718,7952,0.0277563
