test_case,local_base_size,global_nx,global_ny,procs,run,total_time_seconds,num_iterations,time_per_iteration
1,100,100,100,1,1,0.623132,261,0.00238748
1,100,100,100,1,2,0.622745,261,0.00238599
1,100,100,100,1,3,0.623237,261,0.00238788
1,100,200,100,2,1,1.24243,516,0.00240782
1,100,200,100,2,2,1.23948,516,0.0024021
1,100,200,100,2,3,1.24036,516,0.00240379
1,100,200,200,4,1,1.30722,537,0.00243431
1,100,200,200,4,2,1.29822,537,0.00241755
1,100,200,200,4,3,1.29752,537,0.00241624
1,100,400,200,8,1,2.68136,1063,0.00252245
1,100,400,200,8,2,2.58982,1063,0.00243634
1,100,400,200,8,3,2.59008,1063,0.00243658
1,100,400,300,12,1,2.80874,1089,0.00257919
1,100,400,300,12,2,2.69756,1089,0.0024771
1,100,400,300,12,3,2.68559,1089,0.00246611
1,100,400,400,16,1,2.72226,1107,0.00245913
1,100,400,400,16,2,2.74442,1107,0.00247916
1,100,400,400,16,3,2.70113,1107,0.00244005
1,100,500,400,20,1,3.64299,1380,0.00263985
1,100,500,400,20,2,3.54501,1380,0.00256885
1,100,500,400,20,3,3.43575,1380,0.00248967
1,100,600,400,24,1,4.3673,1652,0.00264364
1,100,600,400,24,2,4.23442,1652,0.00256321
1,100,600,400,24,3,4.10387,1652,0.00248418
1,100,700,400,28,1,4.74429,1923,0.00246713
1,100,700,400,28,2,4.72977,1923,0.00245958
1,100,700,400,28,3,4.76711,1923,0.002479
1,100,800,400,32,1,5.37821,2193,0.00245244
1,100,800,400,32,2,5.43472,2193,0.00247821
1,100,800,400,32,3,5.6085,2193,0.00255745
1,100,800,500,40,1,5.85468,2222,0.00263487
1,100,800,500,40,2,5.50771,2222,0.00247872
1,100,800,500,40,3,5.63971,2222,0.00253812
1,100,800,600,48,1,5.59207,2244,0.00249201
1,100,800,600,48,2,5.81777,2244,0.00259259
1,100,800,600,48,3,5.94505,2244,0.00264931
1,100,800,700,56,1,5.93816,2262,0.00262518
1,100,800,700,56,2,5.70991,2262,0.00252428
1,100,800,700,56,3,6.12377,2262,0.00270724
1,100,800,800,64,1,5.86832,2277,0.00257721
1,100,800,800,64,2,6.23403,2277,0.00273783
1,100,800,800,64,3,5.89372,2277,0.00258837
1,100,900,800,72,1,6.77086,2558,0.00264693
1,100,900,800,72,2,7.11184,2558,0.00278023
1,100,900,800,72,3,7.15282,2558,0.00279626
1,200,200,200,1,1,5.11616,537,0.0095273
1,200,200,200,1,2,5.11733,537,0.00952947
1,200,200,200,1,3,5.11676,537,0.00952841
1,200,400,200,2,1,10.1544,1063,0.00955255
1,200,400,200,2,2,10.1594,1063,0.00955726
1,200,400,200,2,3,10.1512,1063,0.00954956
1,200,400,400,4,1,10.6191,1107,0.00959265
1,200,400,400,4,2,10.7141,1107,0.00967854
1,200,400,400,4,3,10.6311,1107,0.00960354
1,200,800,400,8,1,21.1646,2193,0.00965096
1,200,800,400,8,2,21.0493,2193,0.00959841
1,200,800,400,8,3,21.0114,2193,0.00958114
1,200,800,600,12,1,21.7097,2244,0.00967454
1,200,800,600,12,2,21.6861,2244,0.00966403
1,200,800,600,12,3,21.893,2244,0.00975624
1,200,800,800,16,1,22.115,2277,0.00971235
1,200,800,800,16,2,22.0213,2277,0.00967118
1,200,800,800,16,3,22.2935,2277,0.00979075
1,200,1000,800,20,1,27.6787,2839,0.00974946
1,200,1000,800,20,2,27.8794,2839,0.00982016
1,200,1000,800,20,3,27.5386,2839,0.0097001
1,200,1200,800,24,1,34.399,3400,0.0101174
1,200,1200,800,24,2,33.2051,3400,0.0097662
1,200,1200,800,24,3,35.436,3400,0.0104224
1,200,1400,800,28,1,38.9384,3958,0.00983791
1,200,1400,800,28,2,40.2142,3958,0.0101602
1,200,1400,800,28,3,39.0129,3958,0.00985671
1,200,1600,800,32,1,47.4358,4515,0.0105063
1,200,1600,800,32,2,47.2726,4515,0.0104701
1,200,1600,800,32,3,45.9521,4515,0.0101776
1,200,1600,1000,40,1,48.1711,4567,0.0105476
1,200,1600,1000,40,2,46.8882,4567,0.0102667
1,200,1600,1000,40,3,46.4324,4567,0.0101669
1,200,1600,1200,48,1,49.3583,4608,0.0107114
1,200,1600,1200,48,2,48.7903,4608,0.0105882
1,200,1600,1200,48,3,48.9927,4608,0.0106321
1,200,1600,1400,56,1,49.4302,4639,0.0106554
1,200,1600,1400,56,2,50.3697,4639,0.0108579
1,200,1600,1400,56,3,47.6886,4639,0.0102799
1,200,1600,1600,64,1,50.8027,4663,0.0108948
1,200,1600,1600,64,2,53.1412,4663,0.0113963
1,200,1600,1600,64,3,49.8085,4663,0.0106816
1,200,1800,1600,72,1,57.4979,5241,0.0109708
1,200,1800,1600,72,2,58.1666,5241,0.0110984
1,200,1800,1600,72,3,57.7514,5241,0.0110192
1,300,300,300,1,1,17.5159,820,0.0213608
1,300,300,300,1,2,17.8519,820,0.0213606
1,300,300,300,1,3,17.5161,820,0.0213611
1,300,600,300,2,1,34.7299,1624,0.0213854
1,300,600,300,2,2,34.731,1624,0.0213861
1,300,600,300,2,3,34.7356,1624,0.0213889
1,300,600,600,4,1,36.2673,1688,0.0214854
