test_case,global_nx,global_ny,procs,run,total_time_seconds,num_iterations,time_per_iteration
1,100,100,1,1,0.635348,261,0.00243428
1,100,100,1,2,0.637988,261,0.0024444
1,100,100,1,3,0.638921,261,0.00244797
1,100,100,2,1,0.324814,261,0.0012445
1,100,100,2,2,0.32567,261,0.00124778
1,100,100,2,3,0.324947,261,0.00124501
1,100,100,4,1,0.175461,261,0.000672265
1,100,100,4,2,0.177142,261,0.000678705
1,100,100,4,3,0.175977,261,0.000674241
1,100,100,8,1,0.104616,261,0.000400827
1,100,100,8,2,0.107248,261,0.000410913
1,100,100,8,3,0.10115,261,0.000387547
1,100,100,12,1,0.116865,261,0.000447758
1,100,100,12,2,0.120024,261,0.000459863
1,100,100,12,3,0.103895,261,0.000398066
1,100,100,16,1,0.07605,261,0.00029138
1,100,100,16,2,0.0749275,261,0.000287079
1,100,100,16,3,0.0792382,261,0.000303594
1,100,100,20,1,0.092772,261,0.000355448
1,100,100,20,2,0.0859579,261,0.000329341
1,100,100,20,3,0.0911759,261,0.000349333
1,100,100,24,1,0.0718295,261,0.000275209
1,100,100,24,2,0.0684561,261,0.000262284
1,100,100,24,3,0.0730691,261,0.000279958
1,100,100,28,1,0.0745597,261,0.000285669
1,100,100,28,2,0.0695139,261,0.000266337
1,100,100,28,3,0.0694431,261,0.000266065
1,100,100,32,1,0.0502243,261,0.00019243
1,100,100,32,2,0.0560024,261,0.000214568
1,100,100,32,3,0.0496786,261,0.00019034
1,100,100,40,1,0.081671,261,0.000312916
1,100,100,40,2,0.0938626,261,0.000359627
1,100,100,40,3,0.0952315,261,0.000364872
1,100,100,48,1,0.0783097,261,0.000300037
1,100,100,48,2,0.0789599,261,0.000302528
1,100,100,48,3,0.0791038,261,0.00030308
1,100,100,56,1,0.074835,261,0.000286724
1,100,100,56,2,0.0728133,261,0.000278978
1,100,100,56,3,0.0884845,261,0.000339021
1,100,100,64,1,0.0918061,261,0.000351748
1,100,100,64,2,0.0889968,261,0.000340984
1,100,100,64,3,0.0934439,261,0.000358023
1,100,100,72,1,0.117352,261,0.000449625
1,100,100,72,2,0.119148,261,0.000456507
1,100,100,72,3,0.117692,261,0.000450929
1,200,200,1,1,5.33088,537,0.00992716
1,200,200,1,2,5.39969,537,0.0100553
1,200,200,1,3,5.32211,537,0.00991082
1,200,200,2,1,2.6539,537,0.00494209
1,200,200,2,2,2.64755,537,0.00493027
1,200,200,2,3,2.64001,537,0.00491621
1,200,200,4,1,1.33234,537,0.00248109
1,200,200,4,2,1.34238,537,0.00249977
1,200,200,4,3,1.33684,537,0.00248946
1,200,200,8,1,0.698425,537,0.0013006
1,200,200,8,2,0.695489,537,0.00129514
1,200,200,8,3,0.693524,537,0.00129148
1,200,200,12,1,0.523252,537,0.000974398
1,200,200,12,2,0.510116,537,0.000949936
1,200,200,12,3,0.510804,537,0.000951218
1,200,200,16,1,0.38569,537,0.000718231
1,200,200,16,2,0.372653,537,0.000693953
1,200,200,16,3,0.376272,537,0.000700692
1,200,200,20,1,0.328894,537,0.000612466
1,200,200,20,2,0.336241,537,0.000626148
1,200,200,20,3,0.340268,537,0.000633645
1,200,200,24,1,0.290988,537,0.000541877
1,200,200,24,2,0.282172,537,0.000525461
1,200,200,24,3,0.275779,537,0.000513556
1,200,200,28,1,0.249428,537,0.000464484
1,200,200,28,2,0.248509,537,0.000462773
1,200,200,28,3,0.248153,537,0.000462109
1,200,200,32,1,0.207307,537,0.000386046
1,200,200,32,2,0.209931,537,0.000390933
1,200,200,32,3,0.210123,537,0.000391291
1,200,200,40,1,0.234851,537,0.000437339
1,200,200,40,2,0.224477,537,0.000418021
1,200,200,40,3,0.227239,537,0.000423164
1,200,200,48,1,0.197177,537,0.000367182
1,200,200,48,2,0.196308,537,0.000365564
1,200,200,48,3,0.201121,537,0.000374527
1,200,200,56,1,0.170922,537,0.000318291
1,200,200,56,2,0.174106,537,0.000324219
1,200,200,56,3,0.202716,537,0.000377497
1,200,200,64,1,0.191794,537,0.000357159
1,200,200,64,2,0.187282,537,0.000348756
1,200,200,64,3,0.18166,537,0.000338287
1,200,200,72,1,0.22004,537,0.000409757
1,200,200,72,2,0.211283,537,0.00039345
1,200,200,72,3,0.215547,537,0.000401392
1,500,500,1,1,85.4311,1396,0.0611971
1,500,500,1,2,86.0208,1396,0.0616195
1,500,500,1,3,84.8575,1396,0.0607861
1,500,500,2,1,42.7854,1396,0.0306486
1,500,500,2,2,42.8637,1396,0.0307046
1,500,500,2,3,43.1008,1396,0.0308745
1,500,500,4,1,21.5554,1396,0.0154409
1,500,500,4,2,21.8263,1396,0.0156349
1,500,500,4,3,21.6708,1396,0.0155235
1,500,500,8,1,10.7946,1396,0.00773255
1,500,500,8,2,10.8027,1396,0.00773835
