test_case,global_nx,global_ny,procs,run,total_time_seconds,num_iterations,time_per_iteration
1,500,500,8,3,10.8127,1396,0.00774551
1,500,500,12,1,7.24957,1396,0.0051931
1,500,500,12,2,7.90647,1396,0.00566366
1,500,500,12,3,7.31215,1396,0.00523793
1,500,500,16,1,5.45985,1396,0.00391107
1,500,500,16,2,5.51052,1396,0.00394737
1,500,500,16,3,5.48815,1396,0.00393134
1,500,500,20,1,4.47931,1396,0.00320867
1,500,500,20,2,4.40422,1396,0.00315489
1,500,500,20,3,4.59439,1396,0.00329111
1,500,500,24,1,3.71186,1396,0.00265892
1,500,500,24,2,3.71363,1396,0.00266019
1,500,500,24,3,3.7218,1396,0.00266604
1,500,500,28,1,3.21268,1396,0.00230135
1,500,500,28,2,3.20823,1396,0.00229816
1,500,500,28,3,3.19867,1396,0.00229131
1,500,500,32,1,2.99888,1396,0.00214819
1,500,500,32,2,2.80179,1396,0.00200701
1,500,500,32,3,2.87688,1396,0.0020608
1,500,500,40,1,2.34232,1396,0.00167788
1,500,500,40,2,2.33805,1396,0.00167482
1,500,500,40,3,2.3059,1396,0.00165179
1,500,500,48,1,2.12042,1396,0.00151892
1,500,500,48,2,2.12662,1396,0.00152337
1,500,500,48,3,2.13783,1396,0.0015314
1,500,500,56,1,1.84914,1396,0.0013246
1,500,500,56,2,1.95098,1396,0.00139755
1,500,500,56,3,1.88802,1396,0.00135245
1,500,500,64,1,1.67787,1396,0.00120192
1,500,500,64,2,1.72611,1396,0.00123647
1,500,500,64,3,1.67007,1396,0.00119633
1,500,500,72,1,1.60676,1396,0.00115097
1,500,500,72,2,3.51631,1396,0.00251884
1,500,500,72,3,1.6333,1396,0.00116998
1,750,750,1,1,293.538,2129,0.137876
1,750,750,1,2,294.925,2129,0.138527
1,750,750,1,3,285.637,2129,0.134165
1,750,750,2,1,143.409,2129,0.0673598
1,750,750,2,2,158.117,2129,0.0742682
1,750,750,2,3,143.411,2129,0.0673609
1,750,750,4,1,77.7383,2129,0.036514
1,750,750,4,2,72.3783,2129,0.0339964
1,750,750,4,3,71.722,2129,0.0336881
1,750,750,8,1,36.175,2129,0.0169915
1,750,750,8,2,40.5519,2129,0.0190474
1,750,750,8,3,36.2266,2129,0.0170158
1,750,750,12,1,26.1626,2129,0.0122887
1,750,750,12,2,24.2069,2129,0.0113701
1,750,750,12,3,24.4883,2129,0.0115023
1,750,750,16,1,18.2372,2129,0.00856607
1,750,750,16,2,19.5222,2129,0.00916968
1,750,750,16,3,18.3258,2129,0.00860768
1,750,750,20,1,14.7328,2129,0.00692004
1,750,750,20,2,14.7067,2129,0.00690779
1,750,750,20,3,14.9291,2129,0.00701226
1,750,750,24,1,12.5656,2129,0.00590213
1,750,750,24,2,13.0131,2129,0.00611231
1,750,750,24,3,12.4485,2129,0.00584713
1,750,750,28,1,10.8135,2129,0.00507916
1,750,750,28,2,10.9666,2129,0.00515107
1,750,750,28,3,11.2366,2129,0.00527786
1,750,750,32,1,9.84663,2129,0.004625
1,750,750,32,2,9.57772,2129,0.0044987
1,750,750,32,3,9.77303,2129,0.00459043
1,750,750,40,1,7.76006,2129,0.00364493
1,750,750,40,2,7.82808,2129,0.00367688
1,750,750,40,3,7.93812,2129,0.00372857
1,750,750,48,1,6.51691,2129,0.00306102
1,750,750,48,2,6.57532,2129,0.00308846
1,750,750,48,3,6.98062,2129,0.00327883
1,750,750,56,1,6.20519,2129,0.0029146
1,750,750,56,2,6.44568,2129,0.00302756
1,750,750,56,3,6.17688,2129,0.00290131
1,750,750,64,1,5.34515,2129,0.00251064
1,750,750,64,2,5.30978,2129,0.00249402
1,750,750,64,3,5.49371,2129,0.00258042
1,750,750,72,1,4.95399,2129,0.00232691
1,750,750,72,2,5.05135,2129,0.00237264
1,750,750,72,3,5.20861,2129,0.0024465
